symbol,bound,year,n_excursions,mean_duration_hours,median_duration_hours,mean_abs_entry_rho
HBARUSDT,high_tier,2025,2,1449.0,1449.0,2.202077510009623
HBARUSDT,high_tier,2026-partial,1,2001.0,2001.0,1.8472759749924117
HBARUSDT,retail_taker,2021,62,28.870967741935484,5.0,5.162959252757604
HBARUSDT,retail_taker,2022,65,7.7846153846153845,4.0,3.904835900316139
HBARUSDT,retail_taker,2023,55,5.381818181818182,3.0,4.0973917148923364
HBARUSDT,retail_taker,2024,15,6.4,3.0,4.513720677449511
HBARUSDT,retail_taker,2025,1,2293.0,2293.0,4.420183486238739
ICPUSDT,high_tier,2022,143,4.818181818181818,2.0,2.2417378812129853
ICPUSDT,high_tier,2023,60,26.283333333333335,16.5,2.546140930422425
ICPUSDT,high_tier,2024,17,138.35294117647058,74.0,3.1996707394133885
ICPUSDT,high_tier,2025,26,41.46153846153846,19.5,2.262169673911127
ICPUSDT,high_tier,2026-partial,90,41.93333333333333,26.5,2.0266559915559266
ICPUSDT,retail_taker,2022,12,7.083333333333333,3.0,3.711917215062242
ICPUSDT,retail_taker,2023,2,35.5,35.5,17.49560039069386
ICPUSDT,retail_taker,2024,2,1.5,1.5,11.84547789897977
ICPUSDT,retail_taker,2025,6,32.166666666666664,4.0,4.6621267032006175
ICPUSDT,retail_taker,2026-partial,4,77.5,65.0,7.796248513541601
ETCUSDT,high_tier,2020,117,28.64957264957265,7.0,2.723109086492527
ETCUSDT,high_tier,2021,99,45.93939393939394,12.0,2.5887134844481756
ETCUSDT,high_tier,2022,56,53.357142857142854,36.5,2.0237365909702114
ETCUSDT,high_tier,2023,18,42.333333333333336,17.5,2.94459262966146
ETCUSDT,high_tier,2024,9,223.44444444444446,62.0,2.847390957756267
ETCUSDT,high_tier,2025,23,41.17391304347826,28.0,2.0826681379548915
ETCUSDT,high_tier,2026-partial,270,7.551851851851852,5.0,2.085124942207188
ETCUSDT,retail_taker,2020,34,48.3235294117647,17.0,5.670462520777805
ETCUSDT,retail_taker,2021,28,51.0,20.5,4.75156026887962
